ID;name;budget;currency_code;description;startsAt;endsAt;traveller_ID
05cdfa13-9bae-448c-8ace-23a8a20cff5b;Paris Romance Tour;8500.00;EUR;Escape to the City of Light on a seven-day romance-themed journey through Paris. Stroll along the Seine at sunset, savor candlelit dinners near the Eiffel Tower, and explore the art-filled halls of the Louvre hand in hand. This carefully curated itinerary blends iconic landmarks with hidden cafes, boutique wine tastings, and a private Seine river cruise. Evenings are reserved for rooftop views and live jazz, making every moment feel like a scene from a classic love story.;2026-09-12T09:00:00Z;2026-09-19T18:00:00Z;287bdd09-a645-402a-8cdd-da62a3d796bf
44867129-2f7b-4b93-8614-d91bb145626f;Dubai Desert Adventure;5200.00;USD;Trade the ordinary for the extraordinary with five action-packed days in Dubai. Race across golden dunes on a thrilling desert safari, camp beneath a blanket of stars with traditional Bedouin hospitality, and soar over the skyline in a hot air balloon at dawn. Balance the adrenaline with visits to the Burj Khalifa observation deck, the bustling Gold Souk, and a luxury yacht cruise along the Marina for modern city glamour.;2026-12-05T10:00:00Z;2026-12-10T20:00:00Z;287bdd09-a645-402a-8cdd-da62a3d796bf
a1240219-de29-4967-83c5-5d818ab353c1;Big Apple City Lights;4200.00;USD;Experience the electric energy of New York City in four unforgettable days. Walk the neon-lit streets of Times Square, catch a Broadway show under bright marquees, and take in panoramic skyline views from the Top of the Rock. Wander through Central Park, browse the galleries of the Metropolitan Museum of Art, and sample the city's legendary food scene from classic delis to rooftop bars in the city that never sleeps.;2026-10-20T08:00:00Z;2026-10-24T22:00:00Z;4687bbbd-e9e0-499c-ac29-b92fab56a638
6f799ee1-eb71-4681-8e28-ce207d03204d;Parisian Art & Wine Escape;9200.00;EUR;Immerse yourself in eight days of culture and indulgence across Paris. Wander the Musee d'Orsay and Centre Pompidou, join a guided sketching session in Montmartre, and sip vintage selections during a private sommelier-led wine tasting. Day trips to the Champagne region and the gardens of Giverny round out this refined escape, paired with intimate bistro dinners and a farewell dinner cruise on the Seine for a slower exploration of the capital.;2027-03-14T09:00:00Z;2027-03-22T18:00:00Z;4687bbbd-e9e0-499c-ac29-b92fab56a638
c72ab031-b515-47eb-8efe-2c6ba2a78849;Roman Holiday Getaway;3800.00;EUR;Step back in time on a six-day journey through the eternal city of Rome. Explore the ancient Colosseum and Roman Forum with an expert historian guide, toss a coin into the Trevi Fountain, and marvel at Michelangelo's ceiling inside the Sistine Chapel. Evenings are spent savoring authentic trattoria cuisine in Trastevere, followed by gelato walks through cobblestone streets, with a day trip to Tivoli's historic villas closing the trip.;2026-09-25T10:00:00Z;2026-10-01T20:00:00Z;34ff066f-cef0-4c16-b67e-cc679fae14d0
87ccb6fd-d43d-44cf-bcf7-f8dee4125346;Singapore Skyline Business Trip;6100.00;USD;Combine productivity and leisure on this five-day Singapore itinerary designed for the modern business traveler. Attend meetings in the Marina Bay financial district by day, then unwind at the rooftop infinity pool overlooking the glittering skyline by night. Explore Gardens by the Bay's Supertree Grove, sample hawker-center delicacies at Lau Pa Sat, and network over dinner at a Michelin-starred restaurant in this vibrant city-state.;2026-11-10T07:00:00Z;2026-11-15T21:00:00Z;34ff066f-cef0-4c16-b67e-cc679fae14d0
6c3ee97c-6cfc-4dc9-b75c-bce8edde0347;Tokyo Cherry Blossom Trip;18500.00;JPY;Witness the fleeting beauty of sakura season on this eight-day springtime journey through Tokyo. Picnic beneath blooming cherry trees in Ueno Park, join a traditional tea ceremony in a quiet garden, and photograph the pink canopy along the Meguro River. The itinerary also includes a sushi-making class, an evening in the neon glow of Shinjuku, and a day trip to view Mount Fuji framed by blossoms in full bloom.;2027-04-01T08:00:00Z;2027-04-09T20:00:00Z;46c96eae-1857-4af3-a6f3-ad4a18852708
eaaf01ae-ad08-4946-86e8-8ca27d7c3f7a;Bali Beach Getaway;3200.00;USD;Unwind for ten days across Bali's most beautiful coastlines and cultural landmarks. Practice sunrise yoga overlooking rice terraces in Ubud, snorkel the coral reefs off Nusa Penida, and enjoy sunset cocktails on the cliffs of Uluwatu. The itinerary balances relaxation with adventure, including a traditional Balinese spa day, a temple tour through Tanah Lot, and a private beach dinner under the stars for a restorative escape.;2027-01-15T09:00:00Z;2027-01-25T18:00:00Z;02257338-563f-49e8-b6ff-81a288e24c38
2efce6ad-1a13-4502-aa13-863442a58f59;Bangkok Spice Market Discovery;22000.00;INR;Dive into the vibrant flavors and street life of Bangkok on this five-day culinary discovery tour. Wander the floating markets of Damnoen Saduak, join a hands-on Thai cooking class using ingredients sourced from local spice markets, and sample street food along Yaowarat in Chinatown. Balance the sensory adventure with visits to the Grand Palace and a relaxing traditional Thai massage on this flavorful cultural journey.;2026-11-20T09:00:00Z;2026-11-25T19:00:00Z;02257338-563f-49e8-b6ff-81a288e24c38
fb0bb412-51a9-4846-8a51-deca89d05d3b;Sydney Harbour Explorer;7300.00;AUD;Discover the best of Australia's harbour city over six scenic days. Climb the iconic Sydney Harbour Bridge for sweeping views, tour the sail-shaped Opera House, and cruise past waterfront mansions on a sunset harbour cruise. Venture beyond the city to see the Blue Mountains' waterfalls and relax on the golden sands of Bondi Beach, with fresh seafood dinners at The Rocks each evening of the trip.;2027-02-10T09:00:00Z;2027-02-16T18:00:00Z;615bfcf1-ab20-4c52-a8e2-514ba32e3ecd
